2017-08-14 04:57:22 ; 8414.5 ; TX ; 236387000 ; TOVE ; ZDHX3 ; TEST ; ACK ; Snargate
2017-08-14 06:33:58 ; 4207.5 ; RX ; 235083098 ; CHRISTINA KIRK ; 2DYW9 ; TEST ; REQ ; IO75-04
2017-08-14 06:33:58 ; 4207.5 ; TX ; 235083098 ; CHRISTINA KIRK ; 2DYW9 ; TEST ; ACK ; Snargate
2017-08-14 11:48:46 ; 12577.0 ; RX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; REQ ; DRYDEN-NEFFIES-FRANCE
2017-08-14 11:48:48 ; 12577.0 ; TX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; ACK ; Snargate
2017-08-14 11:54:23 ; 8414.5 ; RX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; REQ ; OE3WYC
2017-08-14 11:54:23 ; 8414.5 ; RX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; REQ ; IO75-08
2017-08-14 11:54:24 ; 8414.5 ; TX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; ACK ; Snargate
2017-08-14 11:56:57 ; 6312.0 ; RX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; REQ ; IO75-06
2017-08-14 11:56:57 ; 6312.0 ; TX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; ACK ; Snargate
2017-08-14 12:00:26 ; 2187.5 ; RX ; 477046300 ; GOLDEN SAGUENAY ; VRDS8 ; TEST ; REQ ; IO75-02
2017-08-14 12:00:27 ; 2187.5 ; TX ; 477046300 ; GOLDEN SAGUENAY ; VRDS8 ; TEST ; ACK ; Snargate
2017-08-14 12:01:42 ; 4207.5 ; RX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; REQ ; IO75-04
2017-08-14 12:01:42 ; 4207.5 ; TX ; 636017322 ; SOUTHERN OWL ; D5KI8 ; TEST ; ACK ; Snargate
2017-08-14 12:48:20 ; 8414.5 ; RX ; 218582000 ; MSC CHARLESTON ; DDFT2 ; TEST ; REQ ; OE3WYC
2017-08-14 12:48:20 ; 8414.5 ; RX ; 218582000 ; MSC CHARLESTON ; DDFT2 ; TEST ; REQ ; IO75-08
2017-08-14 12:48:22 ; 8414.5 ; TX ; 218582000 ; MSC CHARLESTON ; DDFT2 ; TEST ; ACK ; Snargate
2017-08-14 13:38:39 ; 4207.5 ; RX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; REQ ; IO75-04
2017-08-14 13:38:41 ; 4207.5 ; TX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; ACK ; Snargate
2017-08-14 14:11:23 ; 6312.0 ; RX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; REQ ; IO75-06
2017-08-14 14:11:24 ; 6312.0 ; TX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; ACK ; Snargate
2017-08-14 14:20:58 ; 8414.5 ; RX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; REQ ; IO75-08
2017-08-14 14:20:58 ; 8414.5 ; RX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; REQ ; OE3WYC
2017-08-14 14:21:00 ; 8414.5 ; TX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; ACK ; Snargate
2017-08-14 14:28:17 ; 6312.0 ; RX ; 310750000 ; MONTREAL EXPRESS ; ZCET4 ; TEST ; REQ ; IO75-06
2017-08-14 14:28:18 ; 6312.0 ; TX ; 310750000 ; MONTREAL EXPRESS ; ZCET4 ; TEST ; ACK ; Snargate
2017-08-14 14:28:56 ; 4207.5 ; RX ; 310750000 ; MONTREAL EXPRESS ; ZCET4 ; TEST ; REQ ; IO75-04
2017-08-14 14:28:57 ; 4207.5 ; TX ; 310750000 ; MONTREAL EXPRESS ; ZCET4 ; TEST ; ACK ; Snargate
2017-08-14 14:43:29 ; 4207.5 ; RX ; 215864000 ; CHEMICAL DISTRIBUTOR ; 9HDQ8 ; TEST ; REQ ; IO75-04
2017-08-14 14:43:31 ; 4207.5 ; TX ; 215864000 ; CHEMICAL DISTRIBUTOR ; 9HDQ8 ; TEST ; ACK ; Snargate
2017-08-14 15:16:21 ; 12577.0 ; RX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; REQ ; DRYDEN-NEFFIES-FRANCE
2017-08-14 15:16:22 ; 12577.0 ; TX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; ACK ; Snargate
2017-08-14 15:39:57 ; 8414.5 ; RX ; 538005987 ; NAVIG8 EXCELSIOR ; V7IS6 ; TEST ; REQ ; OE3WYC
2017-08-14 15:39:57 ; 8414.5 ; RX ; 538005987 ; NAVIG8 EXCELSIOR ; V7IS6 ; TEST ; REQ ; IO75-08
2017-08-14 15:39:58 ; 8414.5 ; TX ; 538005987 ; NAVIG8 EXCELSIOR ; V7IS6 ; TEST ; ACK ; Snargate
2017-08-14 20:37:34 ; 8414.5 ; RX ; 247256600 ; ARDENZA ; IBAE ; TEST ; REQ ; OE3WYC
2017-08-14 20:37:35 ; 8414.5 ; RX ; 247256600 ; ARDENZA ; IBAE ; TEST ; REQ ; IO75-08
2017-08-14 20:37:36 ; 8414.5 ; TX ; 247256600 ; ARDENZA ; IBAE ; TEST ; ACK ; Snargate
2017-08-14 20:37:37 ; 8414.5 ; TX ; 247256600 ; ARDENZA ; IBAE ; TEST ; ACK ; Snargate
2017-08-14 20:46:45 ; 12577.0 ; RX ; 247256600 ; ARDENZA ; IBAE ; TEST ; REQ ; DRYDEN-NEFFIES-FRANCE
2017-08-14 20:46:46 ; 12577.0 ; TX ; 247256600 ; ARDENZA ; IBAE ; TEST ; ACK ; Snargate
2017-08-14 22:50:20 ; 2187.5 ; RX ; 255805677 ; BUXCOAST ; CQEB ; TEST ; REQ ; DORSET_2
2017-08-14 22:50:21 ; 2187.5 ; RX ; 255805677 ; BUXCOAST ; CQEB ; TEST ; REQ ; NL8811
2017-08-14 22:50:21 ; 2187.5 ; RX ; 255805677 ; BUXCOAST ; CQEB ; TEST ; REQ ; MAJO88BN-#1
2017-08-14 22:50:21 ; 2187.5 ; TX ; 255805677 ; BUXCOAST ; CQEB ; TEST ; ACK ; Snargate
2017-08-14 22:50:25 ; 2187.5 ; RX ; 255805677 ; BUXCOAST ; CQEB ; TEST ; REQ ; DORSET_4
2017-08-15 06:36:30 ; 8414.5 ; RX ; 564902000 ; CAPRICORNUS LEADER ; 9V2816 ; TEST ; REQ ; IO75-08
2017-08-15 06:36:30 ; 8414.5 ; TX ; 564902000 ; CAPRICORNUS LEADER ; 9V2816 ; TEST ; ACK ; Snargate
2017-08-15 07:34:53 ; 8414.5 ; RX ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; REQ ; IO75-08
2017-08-15 07:34:55 ; 8414.5 ; TX ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; ACK ; Snargate
2017-08-15 07:35:21 ; 8414.5 ; CK ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; ACK ; DRYDEN-NEFFIES-FRANCE-RX2
2017-08-15 07:36:33 ; 8414.5 ; RX ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; REQ ; OE3WYC
2017-08-15 07:36:33 ; 8414.5 ; RX ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; REQ ; IO75-08
2017-08-15 07:36:35 ; 8414.5 ; TX ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; ACK ; Snargate
2017-08-15 07:37:01 ; 8414.5 ; CK ; 309979000 ; CHEIKH EL MOKRANI ; C6WD5 ; TEST ; ACK ; DRYDEN-NEFFIES-FRANCE-RX2
2017-08-15 13:23:27 ; 2187.5 ; RX ; 241344000 ; EVIAPETROL V ; SVCB2 ; TEST ; REQ ; NL8811
2017-08-15 13:23:27 ; 2187.5 ; TX ; 241344000 ; EVIAPETROL V ; SVCB2 ; TEST ; ACK ; Snargate
2017-08-15 13:28:03 ; 2187.5 ; RX ; 241344000 ; EVIAPETROL V ; SVCB2 ; TEST ; REQ ; NL8811
2017-08-15 13:28:04 ; 2187.5 ; TX ; 241344000 ; EVIAPETROL V ; SVCB2 ; TEST ; ACK ; Snargate
2017-08-16 00:06:17 ; 2187.5 ; RX ; 256495000 ; BALTIC FROST ; 9HA2868 ; TEST ; REQ ; DORSET_2
2017-08-16 00:06:17 ; 2187.5 ; RX ; 256495000 ; BALTIC FROST ; 9HA2868 ; TEST ; REQ ; NL8811
2017-08-16 00:06:18 ; 2187.5 ; RX ; 256495000 ; BALTIC FROST ; 9HA2868 ; TEST ; REQ ; MAJO88BN-#1
2017-08-16 00:06:19 ; 2187.5 ; TX ; 256495000 ; BALTIC FROST ; 9HA2868 ; TEST ; ACK ; Snargate
2017-08-16 00:06:20 ; 2187.5 ; RX ; 256495000 ; BALTIC FROST ; 9HA2868 ; TEST ; REQ ; DORSET_4
2017-08-16 00:23:12 ; 2187.5 ; RX ; 250000964 ; ARKLOW FLAIR ; EIFW ; TEST ; REQ ; NL8811
2017-08-16 00:23:14 ; 2187.5 ; RX ; 250000964 ; ARKLOW FLAIR ; EIFW ; TEST ; REQ ; MAJO88BN-#1
2017-08-16 00:23:14 ; 2187.5 ; TX ; 250000964 ; ARKLOW FLAIR ; EIFW ; TEST ; ACK ; Snargate
2017-08-16 10:52:12 ; 8414.5 ; RX ; 212690000 ; CEMBROOK ; 5BQE4 ; TEST ; REQ ; IO75-08
2017-08-16 10:52:14 ; 8414.5 ; TX ; 212690000 ; CEMBROOK ; 5BQE4 ; TEST ; ACK ; Snargate
2017-08-16 11:32:22 ; 12577.0 ; RX ; 538004178 ; INTERLINK PARITY ; V7VP4 ; TEST ; REQ ; DICK-NRD545
2017-08-16 11:32:23 ; 12577.0 ; TX ; 538004178 ; INTERLINK PARITY ; V7VP4 ; TEST ; ACK ; Snargate
2017-08-16 12:21:45 ; 2187.5 ; RX ; 310750000 ; MONTREAL EXPRESS ; ZCET4 ; TEST ; REQ ; NL8811
2017-08-16 12:21:47 ; 2187.5 ; TX ; 310750000 ; MONTREAL EXPRESS ; ZCET4 ; TEST ; ACK ; Snargate
2017-08-16 14:09:54 ; 2187.5 ; RX ; 002442000 ; Netherlands CG Radio ;  ; TEST ; ACK ; NL8811
2017-08-16 14:36:34 ; 2187.5 ; RX ; 304010995 ; FULDA ; V2GL3 ; TEST ; REQ ; NL8811
2017-08-16 14:36:36 ; 2187.5 ; TX ; 304010995 ; FULDA ; V2GL3 ; TEST ; ACK ; Snargate
2017-08-16 15:39:53 ; 8414.5 ; RX ; 304010995 ; FULDA ; V2GL3 ; TEST ; REQ ; OE3WYC
2017-08-16 15:39:53 ; 8414.5 ; RX ; 304010995 ; FULDA ; V2GL3 ; TEST ; REQ ; IO75-08
2017-08-16 15:39:54 ; 8414.5 ; TX ; 304010995 ; FULDA ; V2GL3 ; TEST ; ACK ; Snargate
2017-08-16 20:16:34 ; 8414.5 ; RX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; REQ ; OE3WYC
2017-08-16 20:16:34 ; 8414.5 ; RX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; REQ ; IO75-08
2017-08-16 20:16:35 ; 8414.5 ; TX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; ACK ; Snargate
2017-08-16 20:16:35 ; 8414.5 ; TX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; ACK ; Snargate
2017-08-16 20:17:06 ; 8414.5 ; RX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; REQ ; IO75-08
2017-08-16 20:17:07 ; 8414.5 ; RX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; REQ ; OE3WYC
2017-08-16 20:17:08 ; 8414.5 ; TX ; 259093000 ; SPAR CORVUS ; LAKK7 ; TEST ; ACK ; Snargate
2017-08-16 22:43:54 ; 2187.5 ; RX ; 235075102 ; CPO CHINA ; 2CRH4 ; TEST ; REQ ; IO75-02
2017-08-16 22:43:54 ; 2187.5 ; RX ; 235075102 ; CPO CHINA ; 2CRH4 ; TEST ; REQ ; MAJO88BN-#1
2017-08-16 22:43:55 ; 2187.5 ; RX ; 235075102 ; CPO CHINA ; 2CRH4 ; TEST ; REQ ; DORSET_2
2017-08-16 22:43:56 ; 2187.5 ; TX ; 235075102 ; CPO CHINA ; 2CRH4 ; TEST ; ACK ; Snargate
2017-08-16 22:43:57 ; 2187.5 ; RX ; 235075102 ; CPO CHINA ; 2CRH4 ; TEST ; REQ ; DORSET_4
2017-08-17 00:00:36 ; 2187.5 ; RX ; 352525000 ; GAZ FIDELITY ; HOFK ; J3E TP ; REQ ; DORSET_2
2017-08-17 00:00:37 ; 2187.5 ; RX ; 352525000 ; GAZ FIDELITY ; HOFK ; J3E TP ; REQ ; IO75-02
2017-08-17 00:00:37 ; 2187.5 ; RX ; 352525000 ; GAZ FIDELITY ; HOFK ; J3E TP ; REQ ; NL8811
2017-08-17 00:00:37 ; 2187.5 ; RX ; 352525000 ; GAZ FIDELITY ; HOFK ; J3E TP ; REQ ; MAJO88BN-#1
2017-08-17 00:00:41 ; 2187.5 ; RX ; 352525000 ; GAZ FIDELITY ; HOFK ; J3E TP ; REQ ; DORSET_4
2017-08-17 01:01:34 ; 2187.5 ; RX ; 565494000 ; SIGAS SILVIA ; S6ES6 ; TEST ; REQ ; DORSET_2
2017-08-17 01:01:35 ; 2187.5 ; RX ; 565494000 ; SIGAS SILVIA ; S6ES6 ; TEST ; REQ ; NL8811
2017-08-17 01:01:35 ; 2187.5 ; RX ; 565494000 ; SIGAS SILVIA ; S6ES6 ; TEST ; REQ ; IO75-02
2017-08-17 01:01:35 ; 2187.5 ; RX ; 565494000 ; SIGAS SILVIA ; S6ES6 ; TEST ; REQ ; MAJO88BN-#1
2017-08-17 01:01:35 ; 2187.5 ; TX ; 565494000 ; SIGAS SILVIA ; S6ES6 ; TEST ; ACK ; Snargate
2017-08-17 01:01:38 ; 2187.5 ; RX ; 565494000 ; SIGAS SILVIA ; S6ES6 ; TEST ; REQ ; DORSET_4
2017-08-17 01:10:24 ; 6312.0 ; RX ; 563672000 ; THALASSA PATRIS ; 9V2229 ; TEST ; REQ ; IO75-06
2017-08-17 01:10:25 ; 6312.0 ; TX ; 563672000 ; THALASSA PATRIS ; 9V2229 ; TEST ; ACK ; Snargate
2017-08-17 01:47:40 ; 6312.0 ; RX ; 563672000 ; THALASSA PATRIS ; 9V2229 ; TEST ; REQ ; IO75-06
